rundate,RunId,RunStatus,RunScope,DataQualityStatus,IsPublishable,TenantName,SubscriptionName,ResourceId,ResourceName,ResourceType,ResourceGroup,Location,RecommendationAction,ActionLabel,SecondaryAction,Priority,Confidence,SavingsReliability,CostCoverageStatus,MetricCollectionStatus,MissingMetrics,TagOwner,MonthlyCost,CurrentSku,CurrentVCpus,CurrentMemoryGB,PowerState,Profile,IsPrimaryProfile,TargetUtilizationPct,TargetSku,TargetVCpus,TargetMemoryGB,ProjectedPeakPct,MonthlySavings,OfficialConservativeSavings,PerformanceRisk,Status
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-017,/subscriptions/60326139-9969-5597-81b3-23c2df94179f/resourceGroups/rg-nonprod-0017/providers/microsoft.apimanagement/gateways/api-management-gateway-0017-00017,api-management-gateway-0017-00017,microsoft.apimanagement/gateways,rg-nonprod-0017,eastus2,Evaluate-Idle,Evaluate idle resource,Downsize,MEDIUM,HIGH,PRICED,FULL,PARTIAL,Metric1,customer-experience,4068.46,Standard_D8s_v5,8,32.0,,Moderate,false,72,Mock_4vCPU_16GB,4,16.0,79.1,1560.11,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-017,/subscriptions/60326139-9969-5597-81b3-23c2df94179f/resourceGroups/rg-nonprod-0017/providers/microsoft.apimanagement/gateways/api-management-gateway-0017-00017,api-management-gateway-0017-00017,microsoft.apimanagement/gateways,rg-nonprod-0017,eastus2,Evaluate-Idle,Evaluate idle resource,Downsize,MEDIUM,HIGH,PRICED,FULL,PARTIAL,Metric1,customer-experience,4068.46,Standard_D8s_v5,8,32.0,,Aggressive,false,80,Mock_2vCPU_8GB,2,8.0,86.7,1941.48,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-021,/subscriptions/90ff049e-59b4-5d85-bcf4-d94e9caaea30/resourceGroups/rg-shared-0061/providers/microsoft.apimanagement/gateways/api-management-gateway-0021-00021,api-management-gateway-0021-00021,microsoft.apimanagement/gateways,rg-shared-0061,southeastasia,Review-Utilization,Review utilization,,HIGH,LOW,PRICED,FULL,COMPLETE,,security,27026.85,Standard_D4s_v5,4,16.0,,Conservative,true,65,Mock_2vCPU_8GB,2,8.0,64.6,4477.46,4477.46,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-021,/subscriptions/90ff049e-59b4-5d85-bcf4-d94e9caaea30/resourceGroups/rg-shared-0061/providers/microsoft.apimanagement/gateways/api-management-gateway-0021-00021,api-management-gateway-0021-00021,microsoft.apimanagement/gateways,rg-shared-0061,southeastasia,Review-Utilization,Review utilization,,HIGH,LOW,PRICED,FULL,COMPLETE,,security,27026.85,Standard_D4s_v5,4,16.0,,Moderate,false,72,Mock_2vCPU_8GB,2,8.0,71.1,5596.83,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-021,/subscriptions/90ff049e-59b4-5d85-bcf4-d94e9caaea30/resourceGroups/rg-shared-0061/providers/microsoft.apimanagement/gateways/api-management-gateway-0021-00021,api-management-gateway-0021-00021,microsoft.apimanagement/gateways,rg-shared-0061,southeastasia,Review-Utilization,Review utilization,,HIGH,LOW,PRICED,FULL,COMPLETE,,security,27026.85,Standard_D4s_v5,4,16.0,,Aggressive,false,80,Mock_1vCPU_4GB,1,4.0,81.0,6964.94,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-026,/subscriptions/454a41c2-ab4b-57c6-a9a9-c10513093799/resourceGroups/rg-shared-0176/providers/microsoft.apimanagement/gateways/api-management-gateway-0026-00026,api-management-gateway-0026-00026,microsoft.apimanagement/gateways,rg-shared-0176,westus3,Optimize-Tier,Optimize service tier,,MEDIUM,MEDIUM,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3,Metric4,Metric5",commerce,10409.88,Standard_D4s_v5,4,16.0,,Conservative,true,65,Mock_2vCPU_8GB,2,8.0,69.0,1776.46,1776.46,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-026,/subscriptions/454a41c2-ab4b-57c6-a9a9-c10513093799/resourceGroups/rg-shared-0176/providers/microsoft.apimanagement/gateways/api-management-gateway-0026-00026,api-management-gateway-0026-00026,microsoft.apimanagement/gateways,rg-shared-0176,westus3,Optimize-Tier,Optimize service tier,,MEDIUM,MEDIUM,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3,Metric4,Metric5",commerce,10409.88,Standard_D4s_v5,4,16.0,,Moderate,false,72,Mock_2vCPU_8GB,2,8.0,68.2,2220.57,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-026,/subscriptions/454a41c2-ab4b-57c6-a9a9-c10513093799/resourceGroups/rg-shared-0176/providers/microsoft.apimanagement/gateways/api-management-gateway-0026-00026,api-management-gateway-0026-00026,microsoft.apimanagement/gateways,rg-shared-0176,westus3,Optimize-Tier,Optimize service tier,,MEDIUM,MEDIUM,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3,Metric4,Metric5",commerce,10409.88,Standard_D4s_v5,4,16.0,,Aggressive,false,80,Mock_1vCPU_4GB,1,4.0,74.5,2763.38,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-028,/subscriptions/ae51c93b-7890-5121-9dfd-c3299b7d8e70/resourceGroups/rg-shared-0062/providers/microsoft.apimanagement/gateways/api-management-gateway-0028-00028,api-management-gateway-0028-00028,microsoft.apimanagement/gateways,rg-shared-0062,uksouth,Review-Utilization,Review utilization,,HIGH,HIGH,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",integration,32867.78,P1v3,2,8.0,,Conservative,true,65,Mock_1vCPU_4GB,1,4.0,71.2,5226.66,5226.66,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-028,/subscriptions/ae51c93b-7890-5121-9dfd-c3299b7d8e70/resourceGroups/rg-shared-0062/providers/microsoft.apimanagement/gateways/api-management-gateway-0028-00028,api-management-gateway-0028-00028,microsoft.apimanagement/gateways,rg-shared-0062,uksouth,Review-Utilization,Review utilization,,HIGH,HIGH,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",integration,32867.78,P1v3,2,8.0,,Moderate,false,72,Mock_1vCPU_4GB,1,4.0,70.7,6533.32,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-028,/subscriptions/ae51c93b-7890-5121-9dfd-c3299b7d8e70/resourceGroups/rg-shared-0062/providers/microsoft.apimanagement/gateways/api-management-gateway-0028-00028,api-management-gateway-0028-00028,microsoft.apimanagement/gateways,rg-shared-0062,uksouth,Review-Utilization,Review utilization,,HIGH,HIGH,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",integration,32867.78,P1v3,2,8.0,,Aggressive,false,80,Mock_1vCPU_2GB,1,2.0,91.9,8130.36,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-029,/subscriptions/ae2a2295-4876-5437-bf0e-761e1b323004/resourceGroups/rg-qa-0029/providers/microsoft.apimanagement/gateways/api-management-gateway-0029-00029,api-management-gateway-0029-00029,microsoft.apimanagement/gateways,rg-qa-0029,southeastasia,Review-Utilization,Review utilization,,LOW,LOW,HEURISTIC,FULL,COMPLETE,,customer-experience,9316.37,GP_Gen5_4,4,20.0,,Conservative,true,65,Mock_2vCPU_10GB,2,10.0,72.9,804.93,804.93,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-029,/subscriptions/ae2a2295-4876-5437-bf0e-761e1b323004/resourceGroups/rg-qa-0029/providers/microsoft.apimanagement/gateways/api-management-gateway-0029-00029,api-management-gateway-0029-00029,microsoft.apimanagement/gateways,rg-qa-0029,southeastasia,Review-Utilization,Review utilization,,LOW,LOW,HEURISTIC,FULL,COMPLETE,,customer-experience,9316.37,GP_Gen5_4,4,20.0,,Moderate,false,72,Mock_2vCPU_10GB,2,10.0,82.0,1006.17,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-029,/subscriptions/ae2a2295-4876-5437-bf0e-761e1b323004/resourceGroups/rg-qa-0029/providers/microsoft.apimanagement/gateways/api-management-gateway-0029-00029,api-management-gateway-0029-00029,microsoft.apimanagement/gateways,rg-qa-0029,southeastasia,Review-Utilization,Review utilization,,LOW,LOW,HEURISTIC,FULL,COMPLETE,,customer-experience,9316.37,GP_Gen5_4,4,20.0,,Aggressive,false,80,Mock_1vCPU_5GB,1,5.0,91.3,1252.12,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-032,/subscriptions/272513e0-51d3-5bf9-98da-75b624fe5900/resourceGroups/rg-nonprod-0032/providers/microsoft.apimanagement/gateways/api-management-gateway-0032-00032,api-management-gateway-0032-00032,microsoft.apimanagement/gateways,rg-nonprod-0032,westus2,Downsize,Downsize resource,,MEDIUM,LOW,PRICED,FULL,COMPLETE,,payments,12265.29,Standard_D2s_v5,2,8.0,,Conservative,true,65,Mock_1vCPU_4GB,1,4.0,67.3,1955.26,1955.26,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-032,/subscriptions/272513e0-51d3-5bf9-98da-75b624fe5900/resourceGroups/rg-nonprod-0032/providers/microsoft.apimanagement/gateways/api-management-gateway-0032-00032,api-management-gateway-0032-00032,microsoft.apimanagement/gateways,rg-nonprod-0032,westus2,Downsize,Downsize resource,,MEDIUM,LOW,PRICED,FULL,COMPLETE,,payments,12265.29,Standard_D2s_v5,2,8.0,,Moderate,false,72,Mock_1vCPU_4GB,1,4.0,83.3,2444.08,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-032,/subscriptions/272513e0-51d3-5bf9-98da-75b624fe5900/resourceGroups/rg-nonprod-0032/providers/microsoft.apimanagement/gateways/api-management-gateway-0032-00032,api-management-gateway-0032-00032,microsoft.apimanagement/gateways,rg-nonprod-0032,westus2,Downsize,Downsize resource,,MEDIUM,LOW,PRICED,FULL,COMPLETE,,payments,12265.29,Standard_D2s_v5,2,8.0,,Aggressive,false,80,Mock_1vCPU_2GB,1,2.0,88.1,3041.52,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-034,/subscriptions/f032349f-7008-5b15-9c7e-52d30bf10a75/resourceGroups/rg-qa-0034/providers/microsoft.apimanagement/gateways/api-management-gateway-0034-00034,api-management-gateway-0034-00034,microsoft.apimanagement/gateways,rg-qa-0034,westeurope,Evaluate-Idle,Evaluate idle resource,Downsize,MEDIUM,MEDIUM,PRICED,FULL,PARTIAL,Metric1,infrastructure,26552.67,P1v3,2,8.0,,Conservative,true,65,Mock_1vCPU_4GB,1,4.0,62.3,2294.15,2294.15,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-034,/subscriptions/f032349f-7008-5b15-9c7e-52d30bf10a75/resourceGroups/rg-qa-0034/providers/microsoft.apimanagement/gateways/api-management-gateway-0034-00034,api-management-gateway-0034-00034,microsoft.apimanagement/gateways,rg-qa-0034,westeurope,Evaluate-Idle,Evaluate idle resource,Downsize,MEDIUM,MEDIUM,PRICED,FULL,PARTIAL,Metric1,infrastructure,26552.67,P1v3,2,8.0,,Moderate,false,72,Mock_1vCPU_4GB,1,4.0,81.6,2867.69,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-034,/subscriptions/f032349f-7008-5b15-9c7e-52d30bf10a75/resourceGroups/rg-qa-0034/providers/microsoft.apimanagement/gateways/api-management-gateway-0034-00034,api-management-gateway-0034-00034,microsoft.apimanagement/gateways,rg-qa-0034,westeurope,Evaluate-Idle,Evaluate idle resource,Downsize,MEDIUM,MEDIUM,PRICED,FULL,PARTIAL,Metric1,infrastructure,26552.67,P1v3,2,8.0,,Aggressive,false,80,Mock_1vCPU_2GB,1,2.0,79.4,3568.68,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-036,/subscriptions/2e68e389-81c2-59e4-97a4-778fa187c82b/resourceGroups/rg-prod-0036/providers/microsoft.apimanagement/gateways/api-management-gateway-0036-00036,api-management-gateway-0036-00036,microsoft.apimanagement/gateways,rg-prod-0036,brazilsouth,Evaluate-Idle,Evaluate idle resource,Downsize,MEDIUM,HIGH,PRICED,FULL,COMPLETE,,infrastructure,10068.51,GP_Gen5_8,8,40.0,,Conservative,true,65,Mock_4vCPU_20GB,4,20.0,73.2,869.92,869.92,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-036,/subscriptions/2e68e389-81c2-59e4-97a4-778fa187c82b/resourceGroups/rg-prod-0036/providers/microsoft.apimanagement/gateways/api-management-gateway-0036-00036,api-management-gateway-0036-00036,microsoft.apimanagement/gateways,rg-prod-0036,brazilsouth,Evaluate-Idle,Evaluate idle resource,Downsize,MEDIUM,HIGH,PRICED,FULL,COMPLETE,,infrastructure,10068.51,GP_Gen5_8,8,40.0,,Moderate,false,72,Mock_4vCPU_20GB,4,20.0,68.4,1087.4,0.0,Medium,RESOLVED
