rundate,RunId,TenantName,SubscriptionName,ResourceId,ResourceName,ResourceType,ResourceGroup,Location,RecommendationAction,ActionLabel,ActionSummary,SecondaryAction,SecondaryActionLabel,Priority,Confidence,SavingsReliability,CostCoverageStatus,MetricCollectionStatus,MissingMetrics,TagOwner,TagApplication,TagEnvironment,TagCostCenter,MonthlyCost,CurrentSku,CurrentVCpus,CurrentMemoryGB,PowerState,Profile,IsPrimaryProfile,TargetUtilizationPct,TargetSku,TargetVCpus,TargetMemoryGB,ProjectedPeakPct,MonthlySavings,OfficialConservativeSavings,PerformanceRisk,Status
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-07,/subscriptions/00000007-0007-4007-8007-000000000007/resourceGroups/rg-dev-007/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--007,virtual-machine-scale--007,microsoft.compute/virtualmachinescalesets,rg-dev-007,brazilsouth,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,LOW,PRICED,FULL,PARTIAL,Metric1,cloud-platform,analytics,dev,CC1006,5453.8,GP_Gen5_8,8,40.0,running,Aggressive,False,80,Mock_2vCPU_10GB,2,10.0,89.7,905.02,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-08,/subscriptions/00000008-0008-4008-8008-000000000008/resourceGroups/rg-qa-008/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--008,virtual-machine-scale--008,microsoft.compute/virtualmachinescalesets,rg-qa-008,eastus,Downsize,Downsize resource,Rightsize based on sustained utilization,,,LOW,MEDIUM,PRICED,FULL,COMPLETE,,payments,payments,qa,CC1006,5443.27,GP_Gen5_4,4,20.0,running,Conservative,True,65,Mock_2vCPU_10GB,2,10.0,69.1,307.58,307.58,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-08,/subscriptions/00000008-0008-4008-8008-000000000008/resourceGroups/rg-qa-008/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--008,virtual-machine-scale--008,microsoft.compute/virtualmachinescalesets,rg-qa-008,eastus,Downsize,Downsize resource,Rightsize based on sustained utilization,,,LOW,MEDIUM,PRICED,FULL,COMPLETE,,payments,payments,qa,CC1006,5443.27,GP_Gen5_4,4,20.0,running,Moderate,False,72,Mock_2vCPU_10GB,2,10.0,78.5,377.88,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-08,/subscriptions/00000008-0008-4008-8008-000000000008/resourceGroups/rg-qa-008/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--008,virtual-machine-scale--008,microsoft.compute/virtualmachinescalesets,rg-qa-008,eastus,Downsize,Downsize resource,Rightsize based on sustained utilization,,,LOW,MEDIUM,PRICED,FULL,COMPLETE,,payments,payments,qa,CC1006,5443.27,GP_Gen5_4,4,20.0,running,Aggressive,False,80,Mock_1vCPU_5GB,1,5.0,87.9,474.55,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-01,/subscriptions/00000011-0011-4011-8011-000000000011/resourceGroups/rg-dev-011/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--011,virtual-machine-scale--011,microsoft.compute/virtualmachinescalesets,rg-dev-011,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,MEDIUM,PRICED,FULL,COMPLETE,,integration,analytics,dev,CC1004,15366.47,S3,4,7.0,running,Conservative,True,65,Mock_2vCPU_3GB,2,3.5,73.0,2031.28,2031.28,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-01,/subscriptions/00000011-0011-4011-8011-000000000011/resourceGroups/rg-dev-011/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--011,virtual-machine-scale--011,microsoft.compute/virtualmachinescalesets,rg-dev-011,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,MEDIUM,PRICED,FULL,COMPLETE,,integration,analytics,dev,CC1004,15366.47,S3,4,7.0,running,Moderate,False,72,Mock_2vCPU_3GB,2,3.5,78.3,2495.57,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-01,/subscriptions/00000011-0011-4011-8011-000000000011/resourceGroups/rg-dev-011/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--011,virtual-machine-scale--011,microsoft.compute/virtualmachinescalesets,rg-dev-011,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,MEDIUM,PRICED,FULL,COMPLETE,,integration,analytics,dev,CC1004,15366.47,S3,4,7.0,running,Aggressive,False,80,Mock_1vCPU_1GB,1,1.8,83.4,3133.98,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-02,/subscriptions/00000012-0012-4012-8012-000000000012/resourceGroups/rg-qa-012/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--012,virtual-machine-scale--012,microsoft.compute/virtualmachinescalesets,rg-qa-012,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,HIGH,HEURISTIC,FULL,COMPLETE,,core-banking,reporting,qa,CC1010,14244.82,Standard_D2s_v5,2,8.0,stopped,Conservative,True,65,Mock_1vCPU_4GB,1,4.0,70.9,1909.62,1909.62,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-02,/subscriptions/00000012-0012-4012-8012-000000000012/resourceGroups/rg-qa-012/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--012,virtual-machine-scale--012,microsoft.compute/virtualmachinescalesets,rg-qa-012,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,HIGH,HEURISTIC,FULL,COMPLETE,,core-banking,reporting,qa,CC1010,14244.82,Standard_D2s_v5,2,8.0,stopped,Moderate,False,72,Mock_1vCPU_4GB,1,4.0,69.1,2346.11,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-02,/subscriptions/00000012-0012-4012-8012-000000000012/resourceGroups/rg-qa-012/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--012,virtual-machine-scale--012,microsoft.compute/virtualmachinescalesets,rg-qa-012,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,HIGH,HEURISTIC,FULL,COMPLETE,,core-banking,reporting,qa,CC1010,14244.82,Standard_D2s_v5,2,8.0,stopped,Aggressive,False,80,Mock_1vCPU_2GB,1,2.0,80.6,2946.27,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-03,/subscriptions/00000013-0013-4013-8013-000000000013/resourceGroups/rg-prod-013/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--013,virtual-machine-scale--013,microsoft.compute/virtualmachinescalesets,rg-prod-013,westus2,Downsize,Downsize resource,Rightsize based on sustained utilization,,,HIGH,HIGH,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",integration,payments,prod,CC1008,15279.81,S3,4,7.0,running,Conservative,True,65,Mock_2vCPU_3GB,2,3.5,76.4,4034.04,4034.04,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-03,/subscriptions/00000013-0013-4013-8013-000000000013/resourceGroups/rg-prod-013/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--013,virtual-machine-scale--013,microsoft.compute/virtualmachinescalesets,rg-prod-013,westus2,Downsize,Downsize resource,Rightsize based on sustained utilization,,,HIGH,HIGH,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",integration,payments,prod,CC1008,15279.81,S3,4,7.0,running,Moderate,False,72,Mock_2vCPU_3GB,2,3.5,72.6,4956.11,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-03,/subscriptions/00000013-0013-4013-8013-000000000013/resourceGroups/rg-prod-013/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--013,virtual-machine-scale--013,microsoft.compute/virtualmachinescalesets,rg-prod-013,westus2,Downsize,Downsize resource,Rightsize based on sustained utilization,,,HIGH,HIGH,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",integration,payments,prod,CC1008,15279.81,S3,4,7.0,running,Aggressive,False,80,Mock_1vCPU_1GB,1,1.8,79.6,6223.95,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-04,/subscriptions/00000014-0014-4014-8014-000000000014/resourceGroups/rg-nonprod-014/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--014,virtual-machine-scale--014,microsoft.compute/virtualmachinescalesets,rg-nonprod-014,eastus,Downsize,Downsize resource,Rightsize based on sustained utilization,,,LOW,HIGH,UNPRICED,FULL,PARTIAL,"Metric1,Metric2",digital-channels,ledger,nonprod,CC1007,8673.48,Standard_D4s_v5,4,16.0,running,Conservative,True,65,Mock_2vCPU_8GB,2,8.0,63.2,910.72,910.72,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-04,/subscriptions/00000014-0014-4014-8014-000000000014/resourceGroups/rg-nonprod-014/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--014,virtual-machine-scale--014,microsoft.compute/virtualmachinescalesets,rg-nonprod-014,eastus,Downsize,Downsize resource,Rightsize based on sustained utilization,,,LOW,HIGH,UNPRICED,FULL,PARTIAL,"Metric1,Metric2",digital-channels,ledger,nonprod,CC1007,8673.48,Standard_D4s_v5,4,16.0,running,Moderate,False,72,Mock_2vCPU_8GB,2,8.0,78.1,1118.88,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-04,/subscriptions/00000014-0014-4014-8014-000000000014/resourceGroups/rg-nonprod-014/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--014,virtual-machine-scale--014,microsoft.compute/virtualmachinescalesets,rg-nonprod-014,eastus,Downsize,Downsize resource,Rightsize based on sustained utilization,,,LOW,HIGH,UNPRICED,FULL,PARTIAL,"Metric1,Metric2",digital-channels,ledger,nonprod,CC1007,8673.48,Standard_D4s_v5,4,16.0,running,Aggressive,False,80,Mock_1vCPU_4GB,1,4.0,80.7,1405.1,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-06,/subscriptions/00000016-0016-4016-8016-000000000016/resourceGroups/rg-qa-016/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--016,virtual-machine-scale--016,microsoft.compute/virtualmachinescalesets,rg-qa-016,westeurope,Downsize,Downsize resource,Rightsize based on sustained utilization,,,MEDIUM,LOW,PRICED,FULL,PARTIAL,Metric1,digital-channels,payments,qa,CC1006,10351.45,Standard_D8s_v5,8,32.0,running,Conservative,True,65,Mock_4vCPU_16GB,4,16.0,71.0,1460.87,1460.87,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-06,/subscriptions/00000016-0016-4016-8016-000000000016/resourceGroups/rg-qa-016/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--016,virtual-machine-scale--016,microsoft.compute/virtualmachinescalesets,rg-qa-016,westeurope,Downsize,Downsize resource,Rightsize based on sustained utilization,,,MEDIUM,LOW,PRICED,FULL,PARTIAL,Metric1,digital-channels,payments,qa,CC1006,10351.45,Standard_D8s_v5,8,32.0,running,Moderate,False,72,Mock_4vCPU_16GB,4,16.0,69.5,1794.79,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-06,/subscriptions/00000016-0016-4016-8016-000000000016/resourceGroups/rg-qa-016/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--016,virtual-machine-scale--016,microsoft.compute/virtualmachinescalesets,rg-qa-016,westeurope,Downsize,Downsize resource,Rightsize based on sustained utilization,,,MEDIUM,LOW,PRICED,FULL,PARTIAL,Metric1,digital-channels,payments,qa,CC1006,10351.45,Standard_D8s_v5,8,32.0,running,Aggressive,False,80,Mock_2vCPU_8GB,2,8.0,76.4,2253.92,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-07,/subscriptions/00000017-0017-4017-8017-000000000017/resourceGroups/rg-prod-017/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--017,virtual-machine-scale--017,microsoft.compute/virtualmachinescalesets,rg-prod-017,westus2,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2,Metric3",digital-channels,api-hub,prod,CC1003,9956.74,Standard_D8s_v5,8,32.0,running,Conservative,True,65,Mock_4vCPU_16GB,4,16.0,59.7,2106.88,2106.88,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-07,/subscriptions/00000017-0017-4017-8017-000000000017/resourceGroups/rg-prod-017/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--017,virtual-machine-scale--017,microsoft.compute/virtualmachinescalesets,rg-prod-017,westus2,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2,Metric3",digital-channels,api-hub,prod,CC1003,9956.74,Standard_D8s_v5,8,32.0,running,Moderate,False,72,Mock_4vCPU_16GB,4,16.0,82.6,2588.45,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-07,/subscriptions/00000017-0017-4017-8017-000000000017/resourceGroups/rg-prod-017/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--017,virtual-machine-scale--017,microsoft.compute/virtualmachinescalesets,rg-prod-017,westus2,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2,Metric3",digital-channels,api-hub,prod,CC1003,9956.74,Standard_D8s_v5,8,32.0,running,Aggressive,False,80,Mock_2vCPU_8GB,2,8.0,86.9,3250.62,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-08,/subscriptions/00000018-0018-4018-8018-000000000018/resourceGroups/rg-nonprod-018/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--018,virtual-machine-scale--018,microsoft.compute/virtualmachinescalesets,rg-nonprod-018,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2",cloud-platform,customer360,nonprod,CC1012,13908.57,Standard_D4s_v5,4,16.0,stopped,Conservative,True,65,Mock_2vCPU_8GB,2,8.0,58.1,4196.31,4196.31,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-08,/subscriptions/00000018-0018-4018-8018-000000000018/resourceGroups/rg-nonprod-018/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--018,virtual-machine-scale--018,microsoft.compute/virtualmachinescalesets,rg-nonprod-018,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2",cloud-platform,customer360,nonprod,CC1012,13908.57,Standard_D4s_v5,4,16.0,stopped,Moderate,False,72,Mock_2vCPU_8GB,2,8.0,68.5,5155.47,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-DIGITAL,SUB-DIGITAL-08,/subscriptions/00000018-0018-4018-8018-000000000018/resourceGroups/rg-nonprod-018/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--018,virtual-machine-scale--018,microsoft.compute/virtualmachinescalesets,rg-nonprod-018,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2",cloud-platform,customer360,nonprod,CC1012,13908.57,Standard_D4s_v5,4,16.0,stopped,Aggressive,False,80,Mock_1vCPU_4GB,1,4.0,82.5,6474.31,0.0,High,RESOLVED
